질문번호,영역,카테고리,축코드,설문문항,평가척도
Q1,생성형 AI 활용 능력,생성형 AI 활용,genAI,"ChatGPT, Claude, Gemini 같은 생성형 AI 도구를 업무에 활용한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q2,생성형 AI 활용 능력,생성형 AI 활용,genAI,"생성형 AI를 사용하여 문서 작성, 이메일 작성, 보고서 작성 등의 반복 업무를 효율화한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q3,생성형 AI 활용 능력,생성형 AI 활용,genAI,생성형 AI 도구의 프롬프트(Prompt) 작성 방법을 이해하고 활용할 수 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q4,생성형 AI 활용 능력,생성형 AI 활용,genAI,생성형 AI를 활용하여 창의적인 아이디어나 솔루션을 도출한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q5,생성형 AI 활용 능력,생성형 AI 활용,genAI,앞으로 생성형 AI 도구를 더 적극적으로 활용하여 업무 효율을 높이고 싶습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q6,실무 데이터 활용 경험,실무 데이터 활용,field,"업무에서 Excel, SQL, Python 등을 사용하여 데이터를 분석한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q7,실무 데이터 활용 경험,실무 데이터 활용,field,실무 데이터를 기반으로 문제를 발견하고 개선 방안을 도출한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q8,실무 데이터 활용 경험,실무 데이터 활용,field,"데이터 시각화 도구(Tableau, Power BI, Excel 차트 등)를 사용하여 인사이트를 전달한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q9,실무 데이터 활용 경험,실무 데이터 활용,field,"데이터 기반 의사결정의 중요성을 이해하고, 업무에 적용하려는 의지가 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q10,실무 데이터 활용 경험,실무 데이터 활용,field,"현업에서 발생하는 데이터를 수집, 정제, 분석하는 프로세스를 이해하고 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q11,전략 및 커뮤니케이션,전략 및 커뮤니케이션,strategy,AI 기술을 비즈니스 목표 달성에 연결하여 전략을 수립한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q12,전략 및 커뮤니케이션,전략 및 커뮤니케이션,strategy,AI 프로젝트의 ROI(투자 대비 효과)를 평가하고 우선순위를 결정한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q13,전략 및 커뮤니케이션,전략 및 커뮤니케이션,strategy,AI 기술을 비기술 직군에게 설명하고 공감대를 형성한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q14,전략 및 커뮤니케이션,전략 및 커뮤니케이션,strategy,조직 내 AI 도입 전략을 기획하고 실행 계획을 수립한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q15,전략 및 커뮤니케이션,전략 및 커뮤니케이션,strategy,"AI 프로젝트의 성공 기준을 정의하고, 성과를 측정한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q16,AI 기술 전문성,AI 기술 전문성,expert,머신러닝 모델을 직접 개발하거나 튜닝한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q17,AI 기술 전문성,AI 기술 전문성,expert,"딥러닝, 신경망, 트랜스포머 등의 고급 AI 기술 개념을 이해하고 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q18,AI 기술 전문성,AI 기술 전문성,expert,"Python, TensorFlow, PyTorch 등의 도구를 사용하여 AI 모델을 구현한 경험이 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q19,AI 기술 전문성,AI 기술 전문성,expert,AI 모델의 성능을 평가하고 개선하는 방법을 이해하고 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
Q20,AI 기술 전문성,AI 기술 전문성,expert,AI 기술을 조직에 내재화하고 팀원들에게 전파한 경험이 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다"
