역량명,과정명,난이도,난이도(별표),방식,소요시간,제공기관,Level,과정내용
AI 개념 이해,AX Level 1 과정 (AI 기초),1,★,e-learning,14,LGD,초급,1. AX/AI 이해 2. 데이터의 이해 3. AX/AI 활용
AI 개념 이해,AI 리터러시 기초,1,★,e-learning,10,한국기술교육대학,초급,1. AI 기술의 개념과 역사 2. AI 리터러시의 이해 3. 일상 속 AI 기술의 이해 4. 기계 학습의 원리 5. 딥러닝의 원리 6. 대규모 언어 모델과 생성형 AI 7. AI 윤리와 주요 이슈 8. AI와 사회적 영향 9. 프롬프트 엔지니어링 기초 10. 고급 프롬프트 엔지니어링 기법
AI 개념 이해,머신러닝 101,2,★★,e-learning,4,한국기술교육대학,사외,1 머신러닝의 기본 개념 2 지도학습 알고리즘 3 비지도학습 알고리즘 4 딥러닝 모델
AI 개념 이해,데이터과학개론,2,★★,e-learning,14,한국기술교육대학,사외,1 빅데이터의 등장 배경 2 빅데이터의 수명주기와 IT 기술 3 데이터 과학의 개요 4 데이터 과학의 방법론-인공지능 5 데이터 과학의 방법론-머신러닝 6 데이터 과학의 방법론-데이터 분석 방법론 7 데이터 분석 실습환경 8 머신러닝 알고리즘-의사결정 트리 9 머신러닝 알고리즘-의사결정 트리 실습 10 머신러닝 알고리즘-회귀분석 11 머신러닝 알고리즘-회귀분석 실습 12 머신러닝 알고리즘-군집분석 13 머신러닝 알고리즘-인공신경망 14 머신러닝 알고리즘-인공신경망 실습
AI 개념 이해,머신러닝과 딥러닝,3,★★★,e-learning,16,한국기술교육대학,사외,2 데이터셋 구성 
AI 개념 이해,[AX] LG AX 개념 이해,1,★,LETO,50,LGD,초급,LG AX 개념 이해
AI 개념 이해,[AX] AI 기술의 작동원리 이해,2,★★,LETO,50,LGD,사외,AI 기술의 작동원리 이해
AI 개념 이해,[AX] 데이터 분석을 위한 수학/통계/머신러닝/딥러닝 이해,2,★★,LETO,50,LGD,사외,데이터 분석을 위한 수학/통계/머신러닝/딥러닝 이해
AI 개념 이해,[AX] 인공지능기술 개론,3,★★★,LETO,50,LGD,중급,"인공지능기술 이해, 머신러닝 수학/통계, 머신러닝, 딥러닝, 컴퓨터 비전, 이상탐지, 강화학습, GPT 기술, 자연어처리 등"
데이터 활용 및 시각화,정형 데이터 분석의 모든 것,2,★★,e-learning,4,한국기술교육대학,사외,2 정형 데이터 분석 4단계 
데이터 활용 및 시각화,MAS Spotfire 활용 과정 (이러닝) ,1,★,e-learning,5.2,LGD,초급,"1. MAS 목적, MAS 시스템 구성/2. 테이블, 크로스테이블, 콤비네이션 차트 등 시각화 활용"
데이터 활용 및 시각화,개발 엔지니어를 위한 MAS 시스템 활용 Skill-up 과정,1,★,e-learning,20,LGD,초급,1. 데이터 실처리 정보  2. 데이터 테이블 생성 3. Master 시각화 구현 4. 항목별 분포 파악 위한 시각화 구현 5. 주요 인자 연계분석 위한 시각화 구현
데이터 활용 및 시각화,Matplotlib과 Seaborn을 활용한 빅데이터 시각화 실무,3,★★★,e-learning,18,한국기술교육대학,중급,1	파이썬 기본 문법 2	파이썬 자료 구조 3	NumPy & SciPy 4	판다스(Pandas) 5	Matplotlib 기초 6	Matplotlib 그래프 그리기 7	Matplotlib 차트 그리기 8	Matplotlib 컬러 사용 9	Matplotlib 주석 사용 10	Matplotlib 그림 사용 11	Matplotlib 결과 출력 12	Seaborn 기초 13	Seaborn 그래프 그리기 14	범주형 다차원 데이터 시각화 15	수치형 다차원 데이터 시각화 16	다양한 데이터 시각화 17	공공 데이터 시각화 프로젝트 18	기업 데이터 시각화 프로젝트
데이터 활용 및 시각화,MAS Core Member 양성 과정,3,★★★,Off-line,32,LGD,중급,"1. FQA/ODA/TPA 기능 별 활용, 정형 분석 기능 별 활용, Data Service 기능 별 활용/2. Spotfire 시각화 기능별 활용, Spotfire Menu별 활용, Spotfire 데이터/필터/함수 활용/3. MAS 모듈 소개, MAS 분석 기능 소개"
