질문번호,역량ID,역량명,설문문항,툴팁설명,평가척도,대상역할
Q1,1,AI 개념 이해,AI와 전통적인 프로그래밍의 차이점을 설명할 수 있습니다.,"전통적인 프로그래밍은 명시적인 규칙을 작성하지만, AI는 데이터로부터 패턴을 학습하여 규칙을 자동으로 찾아냅니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 현업 AI 관리자, 생성형 AI 활용자"
Q2,1,AI 개념 이해,머신러닝과 딥러닝의 차이점을 설명할 수 있습니다.,"머신러닝은 데이터로부터 패턴을 학습하는 AI 기술이고, 딥러닝은 인공신경망을 사용하는 머신러닝의 한 종류입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 실무자
Q3,1,AI 개념 이해,지도학습(Supervised Learning)과 비지도학습(Unsupervised Learning)의 개념을 이해하고 있습니다.,"지도학습은 정답이 있는 데이터로 학습하는 방법이고, 비지도학습은 정답 없이 데이터의 패턴을 찾는 방법입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 현업 AI 관리자, 생성형 AI 활용자"
Q4,1,AI 개념 이해,"AI 모델의 학습, 검증, 테스트 과정을 이해하고 있습니다.","학습은 모델을 훈련시키는 과정, 검증은 모델 성능을 확인하는 과정, 테스트는 최종 평가를 하는 과정입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, AI 전략 리더"
Q5,1,AI 개념 이해,"자연어처리(NLP), 컴퓨터 비전(CV) 등 AI의 주요 응용 분야를 이해하고 있습니다.","자연어처리는 텍스트를 이해하고 생성하는 AI 기술이고, 컴퓨터 비전은 이미지를 분석하고 인식하는 AI 기술입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q6,2,데이터 활용 및 시각화,"Excel, SQL 등을 사용하여 데이터를 추출하고 정제할 수 있습니다.","데이터 추출은 필요한 데이터를 가져오는 것이고, 정제는 오류나 누락된 데이터를 처리하는 과정입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 실무자
Q7,2,데이터 활용 및 시각화,"데이터의 분포, 상관관계 등을 분석하여 인사이트를 도출한 경험이 있습니다.","데이터 분포는 값들이 어떻게 퍼져있는지를 보는 것이고, 상관관계는 변수들 간의 관계를 분석하는 것입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, 생성형 AI 활용자, 현업 AI 관리자"
Q8,2,데이터 활용 및 시각화,"차트, 그래프 등을 사용하여 데이터 분석 결과를 시각적으로 표현한 경험이 있습니다.",시각화는 숫자 데이터를 그래프나 차트로 만들어서 이해하기 쉽게 표현하는 것입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 생성형 AI 활용자, 현업 AI 관리자"
Q9,2,데이터 활용 및 시각화,데이터의 품질을 평가하고 문제점을 파악한 경험이 있습니다.,"데이터 품질 평가는 데이터가 정확하고 완전하며 일관성 있는지 확인하는 과정입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자"
Q10,2,데이터 활용 및 시각화,"Tableau, Power BI 등의 시각화 도구를 사용하여 대시보드를 만든 경험이 있습니다.",대시보드는 여러 차트와 그래프를 한 화면에 모아서 데이터를 한눈에 볼 수 있게 만든 것입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 생성형 AI 활용자, 현업 AI 관리자"
